,title,date,keywords_textrank,ai_entity,day,month,year,status
1644,Panasonic: using technology to address customer challenges,2020-01-01,"['panasonic', 'customer', 'automation', 'company', 'harris']",automation,1,1,2020,postcovid
1645,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['roomba', 'roombas', 'autonomous vacuum enthusiast started']",automatic number plate recognition,1,1,2020,postcovid
1646,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,['emphasis placed sharing lack critical'],semantic search,1,1,2020,postcovid
1647,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['people walk', 'book reprogramming american']",automatic number plate recognition,1,1,2020,postcovid
1648,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['ai', 'intelligence', 'collective', 'international law']",semantic translation,1,1,2020,postcovid
1649,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['language', 'deep', 'ai data', 'latest']",natural language processing,1,1,2020,postcovid
1650,Hardware Archives,2020-01-01,"['yu', 'ai', 'founded', 'horizon', 'raise']",semantic search,1,1,2020,postcovid
1651,Satyan Abraham on a digital transformation journey in Dubai,2020-01-01,"['abraham', 'entertainment', 'experience', 'consultancy', 'consulting', 'project']",named-entity extraction,1,1,2020,postcovid
1652,Cloud Archives,2020-01-01,"['cloud', 'software', 'launched', 'world', 'eggplant launch']",natural language processing,1,1,2020,postcovid
1653,Enterprise Archives,2020-01-01,"['improves', 'time process', 'business', 'technology']",silent speech interface,1,1,2020,postcovid
1654,AI News,2020-01-01,"['deepfake', 'counter deepfakes', 'san', 'phd', 'said']",silent speech interface,1,1,2020,postcovid
1655,Artificial Intelligence News,2020-01-01,['lesson past fast forward future'],facial recognition systems,1,1,2020,postcovid
1656,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['ethic', 'ethically', 'ethical', 'ai', 'earlier', 'initiative', 'application']",cognitive,1,1,2020,postcovid
1657,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['ai', 'year', 'ethic', 'cogx', 'technology']",object recognition,1,1,2020,postcovid
1658,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['conversation tend revolve', 'college', 'vision']",pattern recognition,1,1,2020,postcovid
1659,Google Help,2020-01-01,"['google', 'tvgoogle', 'ad', 'status', 'kid']",chatbots,1,1,2020,postcovid
1660,Get data science out of IT departments and into boardrooms,2020-01-01,"['data', 'business', 'analytics', 'analytical', 'insight', 'organisation', 'organisational']",semantic translation,1,1,2020,postcovid
1661,Issue #186: AI detects asymptomatic Covid-19 infections through cellphone-recorded coughs,2020-01-01,"['biden conspiracy', 'algorithm', 'algorithmic', 'student', 'fake']",speech recognition,1,1,2020,postcovid
1662,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['life digitally', 'digital', 'fear consequently', 'worse fearing']",question answering,1,1,2020,postcovid
1663,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['researcher', 'research', 'technologist', 'performance', 'battery', 'ai']",object recognition,1,1,2020,postcovid
1664,Cellcard: delivering Cambodia’s 5G digital transformation,2020-01-01,"['g', 'digital', 'technology', 'watson', 'network']",artificial intelligence diagnosis,1,1,2020,postcovid
1665,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['new', 'driver', 'use', 'detailing', 'journalist']",game artificial intelligence,1,1,2020,postcovid
1666,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['week', 'whiteness', 'summary', 'standing', 'situates']",data mining,1,1,2020,postcovid
1667,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['woman', 'bias', 'biased', 'mit', 'ai', 'people']",artificial life,1,1,2020,postcovid
1668,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['robotics robot', 'study', 'animal', 'fail', 'consulting']",robotics,1,1,2020,postcovid
1669,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['robot', 'exposing', 'skin', 'possible', 'mounted']",robotics,1,1,2020,postcovid
1670,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['robot', 'cable', 'robotics roomba', 'recent', 'wrong']",robotics,1,1,2020,postcovid
1671,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['girl', 'rite aid', 'google ad']",artificial intelligence diagnosis,1,1,2020,postcovid
1672,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['learn', 'amazon machine learning', 'baby', 'course']",machine learning,1,1,2020,postcovid
1673,Issue #175: Facebook’s AI for detecting hate speech is facing its biggest challenge yet,2020-01-01,"['machine learning', 'problem likely', 'like', 'retailing']",game artificial intelligence,1,1,2020,postcovid
1674,AI Weekly — AI News & Leading Newsletter on Deep Learning & Artificial Intelligence,2020-01-01,"['manufacturing', 'technological', 'technology', 'ai', 'time say']",facial recognition systems,1,1,2020,postcovid
1675,Cities Struggle to Boost Ridership With ‘Uber for Transit’ Schemes,2020-01-02,"['september commuter', 'venture capital', 'complication']",facial recognition,2,1,2020,postcovid
1676,Google claims its AI can beat human doctors at spotting breast cancer,2020-01-03,"['cancer', 'expo', 'ai', 'photo', 'helped', 'help', 'helping']",deep learning,3,1,2020,postcovid
1677,"Intel Maps Out a Foldable, AI-Infused PC Future",2020-01-06,"['intel', 'ai', 'device', 'software', 'pc']",intelligent agent,6,1,2020,postcovid
1678,The World Has a Plan to Rein in AI—but the US Doesn’t Like It,2020-01-06,"['say', 'u', 'global partnership ai']",natural language processing,6,1,2020,postcovid
1679,The White House warns European allies not to overregulate AI,2020-01-07,"['ai', 'uk', 'innovation', 'like', 'government', 'governance']",activity recognition,7,1,2020,postcovid
1680,White House Favors a Light Touch in Regulating AI,2020-01-07,"['regulation ai', 'principle regulating', 'u', 'say']",game artificial intelligence,7,1,2020,postcovid
1681,Facebook’s Deepfake Ban Is a Solution to a Distant Problem,2020-01-07,"['facebook', 'policy deepfake video', 'deepfakes', 'humanity', 'human']",neural modeling fields ,7,1,2020,postcovid
1682,Facebook pledges crackdown on deepfakes ahead of the US presidential election,2020-01-08,"['deepfakes', 'deepfake', 'video', 'expo', 'facebook', 'manipulation', 'manipulated', 'manipulate']",automatic number plate recognition,8,1,2020,postcovid
1683,Airbnb uses AI-enabled trait analyser to check if its customers are psychopaths,2020-01-09,"['expo', 'technology', 'trait', 'patent', 'london']",named-entity extraction,9,1,2020,postcovid
1684,AI Crash Course book extract: Exploring the principles of reinforcement learning,2020-01-10,"['ai', 'reward', 'learning', 'learn', 'learns', 'process', 'processed', 'input']",natural language processing,10,1,2020,postcovid
1685,Intel examines whether AI can recognise faces using thermal imaging,2020-01-10,"['imaging', 'image', 'data', 'expo', 'set', 'intel']",intelligent agent,10,1,2020,postcovid
1686,Export Controls Threaten the Future of AI Outposts in China,2020-01-10,"['china', 'ai', 'u', 'chinese', 'company']",silent speech interface,10,1,2020,postcovid
1687,Artificial Intelligence Makes Bad Medicine Even Worse,2020-01-10,"['cancer', 'ai', 'machine', 'screening', 'study']",speech recognition,10,1,2020,postcovid
1688,Computers Are Learning to See in Higher Dimensions,2020-01-12,"['data', 'research', 'researcher', 'convolutional', 'convolution', 'learning', 'learn', 'gauge']",language identification,12,1,2020,postcovid
1689,It's Easy to Be a Jerk on Twitter. And Twitter Wants to Fix That,2020-01-13,"['conversation', 'tweeted', 'start tweet', 'started', 'people', 'twitter']",information extraction,13,1,2020,postcovid
1690,How to verify that quantum chips are computing correctly,2020-01-13,"['quantum', 'chip', 'photonic', 'photon', 'researcher', 'research', 'output']",semantic search,13,1,2020,postcovid
1691,The Case for a Light Hand With AI and a Hard Line on China,2020-01-14,"['ai', 'agency', 'want', 'american', 'technology']",machine learning,14,1,2020,postcovid
1692,Deepfake app puts your face on GIFs while limiting data collection,2020-01-14,"['doublicat', 'app', 'apps', 'face', 'facing', 'expo', 'video']",facial recognition,14,1,2020,postcovid
1693,Conversational AI Can Propel Social Stereotypes,2020-01-14,"['ai', 'gender', 'gendered', 'female', 'conversational', 'conversation', 'linguist', 'linguistic', 'linguistics']",information extraction,14,1,2020,postcovid
1694,"Artist Refik Anadol Turns Data Into Art, With Help From AI",2020-01-16,"['anadol', 'data', 'new', 'say', 'machine']",machine learning,16,1,2020,postcovid
1695,What Atlanta Can Teach Tech About Cultivating Black Talent,2020-01-16,"['atlanta', 'ai', 'tech', 'like', 'percent']",silent speech interface,16,1,2020,postcovid
1696,Apple buys edge AI experts Xnor.ai for a reported $200 million,2020-01-16,"['ai', 'apple', 'expo', 'like', 'likely company']",data mining,16,1,2020,postcovid
1697,Shanghai uses facial recognition to help catch drug offenders,2020-01-17,"['expo', 'china', 'medication', 'medical', 'facial recognition']",facial recognition,17,1,2020,postcovid
1698,Apple's Latest Deal Shows How AI Is Moving Right Onto Devices,2020-01-17,"['ai', 'apple', 'say', 'run', 'running', 'device']",speech generating device,17,1,2020,postcovid
1699,Worried About Privacy at Home? There's an AI for That,2020-01-21,"['ai', 'need', 'voice', 'cloud', 'recognize', 'recognized']",speech recognition,21,1,2020,postcovid
1700,The Secret History of Facial Recognition,2020-01-21,"['lance', 'woody', 'father', 'worked', 'working', 'work', 'began']",handwriting recognition,21,1,2020,postcovid
1701,AI Can Do Great Things—if It Doesn't Burn the Planet,2020-01-21,"['ai', 'algorithm', 'energy', 'researcher', 'research', 'power', 'powerful']",semantic search,21,1,2020,postcovid
1702,Google CEO: We need sensible AI regulation that does not limit its potential,2020-01-21,"['ai regulation', 'pichai', 'google', 'regulated', 'technology']",language identification,21,1,2020,postcovid
1703,Microsoft Looms Over the Privacy Debate in Its Home State,2020-01-22,"['microsoft', 'washington', 'technology', 'company', 'privacy']",robotics,22,1,2020,postcovid
1704,Using artificial intelligence to enrich digital maps,2020-01-23,"['road', 'lane', 'map', 'mapping', 'tile', 'model']",intelligent agent,23,1,2020,postcovid
1705,Technique reveals whether models of patient risk are accurate,2020-01-23,"['modeling', 'patient', 'risk model', 'research', 'researcher', 'mit']",named-entity extraction,23,1,2020,postcovid
1706,London Cops Will Use Facial Recognition to Hunt Suspects,2020-01-25,"['policing', 'london', 'police said', 'technology', 'uk']",artificial intelligence diagnosis,25,1,2020,postcovid
1707,An AI Epidemiologist Sent the First Warnings of the Wuhan Virus,2020-01-25,"['disease', 'outbreak', 'bluedot', 'data', 'public', 'publication']",facial recognition,25,1,2020,postcovid
1708,Scraping the Web Is a Powerful Tool. Clearview AI Abused It,2020-01-25,"['company', 'clearview', 'scraped', 'scraping', 'information', 'data']",information extraction,25,1,2020,postcovid
1709,Tinder Swipes Right on AI to Help Stop Harassment,2020-01-27,"['tinder', 'message', 'algorithm', 'user reported', 'report']",named-entity extraction,27,1,2020,postcovid
1710,AI License Plate Readers Are Cheaper—So Drive Carefully,2020-01-27,"['software', 'technology', 'rotterdam', 'police', 'department']",named-entity extraction,27,1,2020,postcovid
1711,"Oh Sure, Big Tech Wants Regulation—on Its Own Terms",2020-01-28,"['regulate', 'regulating', 'technology regulation', 'davos', 'government', 'governance', 'corporate', 'corporation']",information extraction,28,1,2020,postcovid
1712,Demystifying artificial intelligence,2020-01-29,"['lao', 'learning', 'learns', 'learn', 'ai', 'news', 'people']",handwriting recognition,29,1,2020,postcovid
1713,Gift will allow MIT researchers to use artificial intelligence in a biomedical device,2020-01-29,"['design', 'device designed', 'engineering', 'engineer', 'williams', 'wave']",deep learning,29,1,2020,postcovid
1714,AI Helps Warehouse Robots Pick Up New Tricks,2020-01-29,"['robot', 'robotics', 'ai', 'learning', 'learn', 'object', 'including', 'include']",object recognition,29,1,2020,postcovid
1715,Meena is Google’s first truly conversational AI,2020-01-29,"['meena', 'google', 'conversation', 'conversational', 'expo', 'like']",semantic translation,29,1,2020,postcovid
1716,Microsoft details $40 million ‘AI for Health’ initiative,2020-01-30,"['microsoft', 'health', 'expo', 'ai', 'world']",robotics,30,1,2020,postcovid
1717,"Alphabet Has a Second, Secretive Quantum Computing Team",2020-01-31,"['quantum', 'google', 'x', 'hidary', 'new']",knowledge management,31,1,2020,postcovid
1718,Snow and Ice Pose a Vexing Obstacle for Self-Driving Cars,2020-02-03,"['car', 'czarnecki', 'annotated', 'canadian', 'autonomous']",named-entity extraction,3,2,2020,postcovid
1719,America Needs a Ministry of (Actual) Truth,2020-02-04,"['fake', 'deepfake', 'deepfakes', 'deepfaked', 'content', 'video', 'truth']",pattern recognition,4,2,2020,postcovid
1720,Reuters Uses AI To Prototype First Ever Automated Video Reports,2020-02-07,"['news', 'reuters', 'report', 'reporting', 'match', 'new']",pattern recognition,7,2,2020,postcovid
1721,Drawing daily doodles: Chalk of the Day brightens MIT,2020-02-10,"['chalking', 'chalked', 'chalk day', 'like', 'mit', 'wong']",machine learning,10,2,2020,postcovid
1722,Out of the lab and into the world,2020-02-11,"['medium lab', 'company', 'research', 'e']",semantic search,11,2,2020,postcovid
1723,"Brainstorming energy-saving hacks on Satori, MIT’s new supercomputer",2020-02-11,"['model trained', 'train', 'training', 'satori', 'ai', 'mit']",neural modeling fields ,11,2,2020,postcovid
1724,Maintaining the equipment that powers our world,2020-02-12,"['garrity', 'equipment', 'mit', 'company', 'power']",virtual reality,12,2,2020,postcovid
1725,Automated system can rewrite outdated sentences in Wikipedia articles,2020-02-12,"['sentence', 'model', 'information', 'human', 'claim']",information extraction,12,2,2020,postcovid
1726,MIT researchers identify security vulnerabilities in voting app,2020-02-13,"['recent year growing', 'unencrypted wi']",deep learning,13,2,2020,postcovid
1727,"Bringing artificial intelligence into the classroom, research lab, and beyond",2020-02-13,"['learning', 'learned', 'say', 'learn work', 'face', 'facing', 'mit', 'worked', 'working']",language identification,13,2,2020,postcovid
1728,Benjamin Chang: Might technology tip the global scales?,2020-02-19,"['change', 'chang', 'china', 'ai', 'nuclear', 'say']",natural language processing,19,2,2020,postcovid
1729,"Elon Musk wants more stringent AI regulation, including for Tesla",2020-02-19,"['musk', 'ai regulation', 'regulated', 'expo', 'openai']",data mining,19,2,2020,postcovid
1730,Artificial intelligence yields new antibiotic,2020-02-20,"['researcher', 'research', 'antibiotic', 'molecule', 'drug', 'bacteria']",cognitive,20,2,2020,postcovid
1731,A road map for artificial intelligence policy,2020-02-20,"['videgaray', 'ai', 'mit', 'technology', 'technological', 'regulation', 'regulator', 'regulate']",language identification,20,2,2020,postcovid
1732,A human-machine collaboration to defend against cyberattacks,2020-02-21,"['analyst', 'data', 'machine', 'patternex', 'mit']",machine learning,21,2,2020,postcovid
1733,MIT researchers use AI to discover a welcome new antibiotic,2020-02-21,"['antibiotic', 'expo', 'resistance', 'resistant', 'ai', 'researcher', 'research']",semantic translation,21,2,2020,postcovid
1734,Bringing deep learning to life,2020-02-24,"['lab', 'mit student', 'learning', 'learn', 'amini']",data mining,24,2,2020,postcovid
1735,Met Police commissioner dismisses critics of facial recognition systems,2020-02-25,"['trial', 'police', 'dick', 'expo', 'critic', 'criticism']",virtual reality,25,2,2020,postcovid
1736,Babylon Health lashes out at doctor who raised AI chatbot safety concerns,2020-02-26,"['babylon health', 'dr', 'chatbot', 'watkins']",chatbots,26,2,2020,postcovid
1737,Protecting sensitive metadata so it can’t be used for surveillance,2020-02-26,"['server', 'message', 'user', 'metadata', 'kwon']",image processing,26,2,2020,postcovid
1738,"To self-drive in the snow, look under the road",2020-02-26,"['map', 'mapped', 'ground', 'lgpr mapping', 'working', 'work', 'csail']",handwriting recognition,26,2,2020,postcovid
1739,A new way to prepare graduate students to lead in tech,2020-02-26,"['leadership', 'student', 'engineering', 'workshop', 'course']",deep learning,26,2,2020,postcovid
1740,President Reif testifies before Congress on U.S. competitiveness,2020-02-27,"['u', 'reif said', 'research', 'researcher', 'new']",artificial life,27,2,2020,postcovid
1741,The catch to putting warning labels on fake news,2020-03-03,"['news story', 'false', 'warning', 'rand']",handwriting recognition,3,3,2020,postcovid
1742,FiveAI raises £32 million to commercialise its autonomous driving technology,2020-03-04,"['expo', 'technology james', 'service', 'cloud']",speech generating device,4,3,2020,postcovid
1743,A new model of vision,2020-03-04,"['brain', 'face', 'model', 'modeling', 'image', 'researcher', 'research']",semantic search,4,3,2020,postcovid
1744,Integrating electronics onto physical prototypes,2020-03-04,"['object', 'prototyping', 'prototype', 'design', 'designer', 'designed', 'designated', 'designing', 'curveboards', 'curveboard', 'breadboard']",handwriting recognition,4,3,2020,postcovid
1745,Clearview AI lawyer: ‘Common law has never recognised a right to privacy for your face’,2020-03-06,"['clearview ai', 'face', 'ekeland', 'expo']",game artificial intelligence,6,3,2020,postcovid
1746,Samsung launches AI research unit for semiconductor demand – reports,2020-03-06,"['samsung', 'ai research', 'researcher', 'expo', 'james']",image processing,6,3,2020,postcovid
1747,Showing robots how to do your chores,2020-03-06,"['robot', 'robotic', 'robotics', 'task', 'tasked', 'specification', 'specific', 'researcher', 'learn', 'learning']",machine learning,6,3,2020,postcovid
1748,“Doing machine learning the right way”,2020-03-08,"['madry', 'model', 'say', 'mit', 'machine']",machine learning,8,3,2020,postcovid
1749,2020 MacVicar Faculty Fellows named,2020-03-09,"['student', 'professor', 'mit', 'teaching', 'teach', 'colleague']",language identification,9,3,2020,postcovid
1750,Creating Peru’s next generation of data scientists,2020-03-09,"['program', 'id', 'aporta', 'challenge', 'challenging', 'data']",machine learning,9,3,2020,postcovid
1751,3Q: Collaborating with users to develop accessible designs,2020-03-13,"['researcher', 'research', 'design', 'designed', 'designer', 'designing', 'visualization', 'visually', 'visual', 'community worked', 'work', 'working']",artificial intelligence diagnosis,13,3,2020,postcovid
1752,Gartner: Strongest demand for AI talent coming from outside of IT,2020-03-19,"['ai', 'gartner', 'expo', 'james', 'security']",cybernetics,19,3,2020,postcovid
1753,System trains driverless cars in simulation before they hit the road,2020-03-23,"['control', 'controller', 'vehicle', 'simulation', 'simulator', 'simulated', 'simulate', 'road', 'data']",e-mail spam filtering,23,3,2020,postcovid
1754,AI enables Star Trek: Voyager to be remastered in 4K,2020-03-30,"['ai', 'expo', 'remastered', 'remastering', 'remaster', 'work', 'reichard']",image processing,30,3,2020,postcovid
1755,Babylon Health says its AI can appropriately triage 85% of patients,2020-04-01,"['ai', 'babylon health', 'expo', 'patient']",named-entity extraction,1,4,2020,postcovid
1756,AI project aims to diagnose COVID-19 using voice analysis,2020-04-01,"['testing', 'test', 'voice', 'expo', 'ai', 'covid']",intelligent agent,1,4,2020,postcovid
1757,Q&A: Markus Buehler on setting coronavirus and AI-inspired proteins to music,2020-04-02,"['protein', 'music', 'musical', 'structure', 'structurally', 'new', 'model', 'modeling']",pattern recognition,2,4,2020,postcovid
1758,Google’s latest AI could prevent deaths caused by incorrect prescriptions,2020-04-03,"['patient', 'ai', 'medication', 'medical', 'google', 'expo']",activity recognition,3,4,2020,postcovid
1759,"Researching from home: Science stays social, even at a distance",2020-04-07,"['lab', 'researcher', 'research', 'data', 'professor', 'work', 'worked', 'working']",semantic search,7,4,2020,postcovid
1760,Computational thinking class enables students to engage in Covid-19 response,2020-04-07,"['mit', 'julia', 'class open', 'student']",facial recognition systems,7,4,2020,postcovid
1761,Learning about artificial intelligence: A hub of MIT resources for K-12 students,2020-04-07,"['learning', 'learn', 'mit', 'ai', 'educator', 'educational', 'education', 'child']",language identification,7,4,2020,postcovid
1762,Clearview AI has been found to have extensive far-right ties,2020-04-08,"['right', 'expo', 'clearview ai', 'ton']",game artificial intelligence,8,4,2020,postcovid
1763,Sprayable user interfaces,2020-04-08,"['stencil', 'stenciling', 'interactive', 'interact', 'mit', 'sensor', 'design', 'designing', 'designer']",named-entity extraction,8,4,2020,postcovid
1764,"Katie Collins, Vaishnavi Phadnis, and Vaibhavi Shah named 2020-21 Goldwater Scholars",2020-04-09,"['research', 'professor', 'say', 'saying', 'year', 'scholarship']",silent speech interface,9,4,2020,postcovid
1765,Apple acquires Voysis to boost Siri’s language skills,2020-04-09,"['ai', 'apple', 'expo', 'company', 'voysis']",artificial life,9,4,2020,postcovid
1766,Bluetooth signals from your smartphone could automate Covid-19 contact tracing while preserving privacy,2020-04-09,"['phone', 'contact', 'people', 'person', 'personal', 'mit']",chatbots,9,4,2020,postcovid
1767,Deploying more conversational chatbots,2020-04-17,"['bot', 'posh', 'founder', 'customer', 'kashyap']",computer game,17,4,2020,postcovid
1768,New AI enables teachers to rapidly develop intelligent tutoring systems,2020-04-20,"['learns', 'learn', 'learning', 'student', 'problem', 'koedinger', 'tutoring', 'tutor', 'tutored']",natural language processing,20,4,2020,postcovid
1769,Leading AI researchers propose ‘toolbox’ for verifying ethics claims,2020-04-20,"['ai researcher', 'research', 'claim', 'developed', 'developing', 'development', 'developer', 'develop', 'safety']",semantic search,20,4,2020,postcovid
1770,Researchers restore injured man's sense of touch using brain-computer interface technology,2020-04-20,"['touch', 'burkhart', 'signal', 'control', 'controlling', 'controller', 'controlled', 'like']",handwriting recognition,20,4,2020,postcovid
1771,MIT team races to fill Covid-19-related ventilator shortage,2020-04-20,"['team', 'design', 'designed', 'designer', 'ventilator', 'ventilation', 'ventilated', 'mit', 'say']",intelligent agent,20,4,2020,postcovid
1772,Researchers help give robotic arms a steady hand for surgeries,2020-04-20,"['finger', 'surgeon', 'robotic', 'robot', 'user', 'surgical']",robotics,20,4,2020,postcovid
1773,Professor Daniela Rus named to White House science council,2020-04-21,"['science', 'mit professor', 'pcast', 'council']",cybernetics,21,4,2020,postcovid
1774,"With lidar and artificial intelligence, road status clears up after a disaster",2020-04-21,"['road', 'data', 'algorithm', 'lidar', 'area']",automatic target recognition,21,4,2020,postcovid
1775,Reducing the carbon footprint of artificial intelligence,2020-04-23,"['network', 'training', 'train', 'trained', 'subnetworks', 'subnetwork', 'efficiency', 'efficient', 'efficiently', 'device']",speech generating device,23,4,2020,postcovid
1776,"Q&A: Anton Fedotov, Airband Technologies: On how AI is tackling air pollution",2020-04-23,"['airband', 'ai', 'data', 'air', 'business', 'busy']",artificial life,23,4,2020,postcovid
1777,Jim Collins receives funding to harness AI for drug discovery,2020-04-23,"['mit', 'supported', 'supporting', 'support', 'antibiotic', 'collins', 'engineering']",activity recognition,23,4,2020,postcovid
1778,Muscle signals can pilot a robot,2020-04-27,"['gesture', 'gestured', 'human robot', 'forearm', 'machine']",machine learning,27,4,2020,postcovid
1779,MIT conference reveals the power of using artificial intelligence to discover new drugs,2020-04-27,"['conference', 'research', 'mit researcher', 'science', 'student']",cybernetics,27,4,2020,postcovid
1780,3 Questions: Tom Leighton on the major surge in internet traffic triggered by physical distancing,2020-04-27,"['internet', 'traffic', 'service', 'akamai', 'network']",intelligent agent,27,4,2020,postcovid
1781,Automating the search for entirely new “curiosity” algorithms,2020-04-28,"['algorithm', 'research', 'researcher', 'learn', 'learning', 'learns', 'new', 'explore', 'exploration']",information extraction,28,4,2020,postcovid
1782,World’s oldest defence think tank concludes British spies need AI,2020-04-28,"['ai', 'rusi', 'intelligence', 'likely', 'like', 'uk']",intelligent agent,28,4,2020,postcovid
1783,A foolproof way to shrink deep learning models,2020-04-30,"['model', 'prune', 'pruning', 'pruned', 'researcher', 'research', 'technique', 'frankle']",silent speech interface,30,4,2020,postcovid
1784,MIT IDEAS celebrates social innovation at the Institute,2020-05-01,"['idea', 'mit', 'team', 'social', 'platform']",facial recognition systems,1,5,2020,postcovid
1785,Three from MIT elected to the National Academy of Sciences for 2020,2020-05-01,"['research', 'researcher', 'science', 'work', 'working', 'mit', 'economics', 'economic']",silent speech interface,1,5,2020,postcovid
1786,PlotMachines AI system writes long-form stories from outlines,2020-05-04,"['outline story', 'plotmachines', 'plotmachine', 'plot', 'element']",automatic number plate recognition,4,5,2020,postcovid
1787,Microsoft releases two Python video courses which help aspiring AI developers,2020-05-05,"['python', 'course', 'microsoft', 'ai developer', 'development']",robotics,5,5,2020,postcovid
1788,Siranush Babakhanova and Michal Gala named 2020 Knight-Hennessy Scholars,2020-05-05,"['mit', 'development', 'developing', 'engineering', 'engineer', 'program', 'gala']",deep learning,5,5,2020,postcovid
1789,Visualizing the world beyond the frame,2020-05-06,"['gans', 'gan', 'model', 'researcher', 'research', 'image', 'learning', 'learns', 'learned', 'learn']",language identification,6,5,2020,postcovid
1790,3 Questions: The rapidly unfolding future of smart fabrics,2020-05-08,"['fiber', 'fabric', 'fabrication', 'new', 'computational', 'computing', 'computation', 'large']",automation,8,5,2020,postcovid
1791,AI bot had to unlearn English grammar to decipher Trump speeches,2020-05-13,"['er', 'trump', 'margaret', 'president', 'james']",silent speech interface,13,5,2020,postcovid
1792,What can your microwave tell you about your health?,2020-05-18,"['appliance', 'sensor', 'data', 'learning', 'learn', 'learns', 'help', 'helping']",natural language processing,18,5,2020,postcovid
1793,Marshaling artificial intelligence in the fight against Covid-19,2020-05-19,"['research', 'researcher', 'covid', 'mit', 'patient', 'project']",named-entity extraction,19,5,2020,postcovid
1794,A scientist turns to entrepreneurship,2020-05-20,"['ducru', 'problem', 'say', 'computational', 'computing', 'nuclear']",semantic translation,20,5,2020,postcovid
1795,Machine-learning tool could help develop tougher materials,2020-05-20,"['material', 'simulation', 'simulate', 'simulated', 'simulating', 'fracture', 'fracturing', 'say', 'process']",data mining,20,5,2020,postcovid
1796,Microsoft partners with OpenAI to build Azure supercomputer,2020-05-20,"['openai', 'agi', 'microsoft', 'supercomputer', 'supercomputing', 'expo']",robotics,20,5,2020,postcovid
1797,"Microsoft President Brad Smith talks data, Covid-19, and a potential “digital 9/11”",2020-05-21,"['smith', 'need', 'covid', 'said', 'mit']",deep learning,21,5,2020,postcovid
1798,Fireflies helps companies get more out of meetings,2020-05-21,"['meeting', 'meet', 'firefly', 'founder', 'company', 'people']",intelligent agent,21,5,2020,postcovid
1799,Google pledges to no longer build AIs for the fossil fuel industry,2020-05-22,"['google', 'ai', 'industry', 'expo', 'tech']",artificial life,22,5,2020,postcovid
1800,"Dorian Selz, CEO, Squirro: Why the AI revolution will take time",2020-05-26,"['company', 'ai', 'selz', 'big data']",data mining,26,5,2020,postcovid
1801,Undergraduates develop next-generation intelligence tools,2020-05-26,"['say', 'project', 'robot', 'mit', 'liver']",robotics,26,5,2020,postcovid
1802,but can Covid-19 alter this process?,2020-05-26,"['ai', 'learning', 'learn', 'project', 'solution', 'industry']",language identification,26,5,2020,postcovid
1803,Jack Dorsey tells Andrew Yang that AI is ‘coming for programming jobs’,2020-05-26,"['job', 'dorsey', 'yang ai', 'worker']",data mining,26,5,2020,postcovid
1804,Making nuclear energy cost-competitive,2020-05-27,"['nuclear', 'mit', 'advanced reactor', 'advancement', 'advance', 'research', 'researcher']",named-entity extraction,27,5,2020,postcovid
1805,Algorithm quickly simulates a roll of loaded dice,2020-05-28,"['random', 'randomness', 'randomly', 'fldr', 'simulation', 'simulates', 'simulate', 'efficient', 'efficiency', 'dice']",e-mail spam filtering,28,5,2020,postcovid
1806,Japan passes bill to build AI-powered ‘super cities’ addressing societal issues,2020-05-28,"['government', 'expo', 'ai', 'city', 'japan']",knowledge management,28,5,2020,postcovid
1807,Giving soft robots feeling,2020-06-01,"['finger', 'soft', 'sensorized', 'sensor', 'gripper', 'grippers', 'team']",computer game,1,6,2020,postcovid
1808,AI uses data from Oura wearables to predict COVID-19 three days early,2020-06-02,"['covid', 'researcher', 'research', 'expo', 'oura wearable']",semantic search,2,6,2020,postcovid
1809,The BBC’s virtual assistant is now available for testing in the UK,2020-06-03,"['beeb', 'bbc', 'assistant', 'expo', 'like']",semantic translation,3,6,2020,postcovid
